Export Status,Error Message,*Location Type,*Parent Path,*Location Name,*Effective Date,*Expiration Date,Full Name,Description,Address,Cost Center,Direct Work Percent,Indirect Work Percent,Transferable,Currency,Color,External Id
Success,,Job,CN/10100/HBS Center/Shep.Park RDI/10214 Genetics,ASST,1/01/1900,1/01/3000,ASST,Genetic Counselor Assistant,,,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10214-JC1655-EXTID
Success,,Job,CN/10100/HBS Center/Shep.Park RDI/10214 Genetics,COORD,1/01/1900,1/01/3000,COORD,Program Coordinator,,,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10214-JC0379-EXTID
Success,,Job,CN/10100/HBS Center/Shep.Park RDI/10214 Genetics,LEAD,1/01/1900,1/01/3000,LEAD,Program Lead,,,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10214-JC0386-EXTID
Success,,Job,CN/10100/HBS Center/Shep.Park RDI/10214 Genetics,MGR,1/01/1900,1/01/3000,MGR,Operations Mgr,,,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10214-MGR-EXTID
Success,,Job,CN/10100/HBS Center/Shep.Park RDI/10214 Genetics,APCT,1/01/1900,1/01/3000,APCT,Ambulatory Patient Care Tech SEI,,,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10214-APCT-EXTID
Success,,COST CENTER,CN/10100/HBS Center/Shep.Park RDI,10213 Genetic Counseling,1/01/1900,1/01/3000,10213 Genetic Counseling,10213 Genetic Counseling,,10213,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10213-EXTID
Success,,Job,CN/10100/HBS Center/Shep.Park RDI/10213 Genetic Counseling,CSLR,1/01/1900,1/01/3000,CSLR,Genetic Counselor I,,,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10213-JC1656-EXTID
Success,,Job,CN/10100/HBS Center/Shep.Park RDI/10213 Genetic Counseling,ASST,1/01/1900,1/01/3000,ASST,Genetic Counselor Assistant,,,,,false,USD,,CN-10100-HBS Center-LOC_060-CC_10213-JC1655-EXTID
Success,,LOCATION,CN/10100/HBS Center,Spec. Mary Wash,1/01/1900,1/01/3000,Spec. Mary Wash,Spec. Mary Wash,,,,,false,USD,,CN-10100-HBS Center-LOC_030-EXTID
Success,,COST CENTER,CN/10100/HBS Center/Spec. Mary Wash,10175 Mary Washington Neonatology,1/01/1900,1/01/3000,10175 Mary Washington Neonatology,10175 Mary Washington Neonatology,,10175,,,false,USD,,CN-10100-HBS Center-LOC_030-CC_10175-EXTID
Success,,Job,CN/10100/HBS Center/Spec. Mary Wash/10175 Mary Washington Neonatology,PHYS,1/01/1900,1/01/3000,PHYS,Neonatologist,,,,,false,USD,,CN-10100-HBS Center-LOC_030-CC_10175-JC0511-EXTID
Success,,Job,CN/10100/HBS Center/Spec. Mary Wash/10175 Mary Washington Neonatology,FACULTY,1/01/1900,1/01/3000,FACULTY,Faculty Adv Practice Provider,,,,,false,USD,,CN-10100-HBS Center-LOC_030-CC_10175-JC0521-EXTID
Success,,COST CENTER,CN/10100/HBS Center/Spec. Mary Wash,10203 Mary Washington Hospitalists,1/01/1900,1/01/3000,10203 Mary Washington Hospitalists,10203 Mary Washington Hospitalists,,10203,,,false,USD,,CN-10100-HBS Center-LOC_030-CC_10203-EXTID
Success,,Job,CN/10100/HBS Center/Spec. Mary Wash/10203 Mary Washington Hospitalists,PHYS,1/01/1900,1/01/3000,PHYS,Hospitalist,,,,,false,USD,,CN-10100-HBS Center-LOC_030-CC_10203-JC0522-EXTID
Success,,Job,CN/10100/HBS Center/Spec. Mary Wash/10203 Mary Washington Hospitalists,NP,1/01/1900,1/01/3000,NP,Adv Pract Nurse Practitioner,,,,,false,USD,,CN-10100-HBS Center-LOC_030-CC_10203-JC1578-EXTID
Success,,Job,CN/10100/HBS Center/Spec. Mary Wash/10203 Mary Washington Hospitalists,DIR,1/01/1900,1/01/3000,DIR,Med Dir MWHSH Hosp Prog,,,,,false,USD,,CN-10100-HBS Center-LOC_030-CC_10203-JC0598-EXTID
Success,,LOCATION,CN/10100/HBS Center,Spec. Holy Cross,1/01/1900,1/01/3000,Spec. Holy Cross,Spec. Holy Cross,,,,,false,USD,,CN-10100-HBS Center-LOC_029-EXTID
Success,,COST CENTER,CN/10100/HBS Center/Spec. Holy Cross,10205 Holy Cross Hospitalists,1/01/1900,1/01/3000,10205 Holy Cross Hospitalists,10205 Holy Cross Hospitalists,,10205,,,false,USD,,CN-10100-HBS Center-LOC_029-CC_10205-EXTID
Success,,Job,CN/10100/HBS Center/Spec. Holy Cross/10205 Holy Cross Hospitalists,PHYS,1/01/1900,1/01/3000,PHYS,Hospitalist,,,,,false,USD,,CN-10100-HBS Center-LOC_029-CC_10205-JC0522-EXTID
Success,,Job,CN/10100/HBS Center/Spec. Holy Cross/10205 Holy Cross Hospitalists,DIR,1/01/1900,1/01/3000,DIR,Med Dir Hch Hosp Prog,,,,,false,USD,,CN-10100-HBS Center-LOC_029-CC_10205-JC0595-EXTID
Success,,Job,CN/10100/HBS Center/Spec. Holy Cross/10205 Holy Cross Hospitalists,NP,1/01/1900,1/01/3000,NP,Adv Pract Nurse Practitioner,,,,,false,USD,,CN-10100-HBS Center-LOC_029-CC_10205-JC1578-EXTID
Success,,LOCATION,CN/10100/HBS Center,NICU GWU,1/01/1900,1/01/3000,NICU GWU,NICU GWU,,,,,false,USD,,CN-10100-HBS Center-LOC_024-EXTID
Success,,COST CENTER,CN/10100/HBS Center/NICU GWU,10180 GW Neonatology,1/01/1900,1/01/3000,10180 GW Neonatology,10180 GW Neonatology,,10180,,,false,USD,,CN-10100-HBS Center-LOC_024-CC_10180-EXTID
Success,,Job,CN/10100/HBS Center/NICU GWU/10180 GW Neonatology,NP,1/01/1900,1/01/3000,NP,Adv Pract Nurse Practitioner,,,,,false,USD,,CN-10100-HBS Center-LOC_024-CC_10180-JC1578-EXTID
Success,,Job,CN/10100/HBS Center/NICU GWU/10180 GW Neonatology,PHYS,1/01/1900,1/01/3000,PHYS,Neonatologist,,,,,false,USD,,CN-10100-HBS Center-LOC_024-CC_10180-JC0511-EXTID
Success,,Job,CN/10100/HBS Center/NICU GWU/10180 GW Neonatology,COORD,1/01/1900,1/01/3000,COORD,Outreach Hospital Coord,,,,,false,USD,,CN-10100-HBS Center-LOC_024-CC_10180-JC0439-EXTID
Success,,COST CENTER,CN/10100/HBS Center/NICU GWU,10173 Neonatology,1/01/1900,1/01/3000,10173 Neonatology,10173 Neonatology,,10173,,,false,USD,,CN-10100-HBS Center-LOC_024-CC_10173-EXTID
Success,,Job,CN/10100/HBS Center/NICU GWU/10173 Neonatology,PHYS,1/01/1900,1/01/3000,PHYS,Neonatologist,,,,,false,USD,,CN-10100-HBS Center-LOC_024-CC_10173-JC0511-EXTID
Success,,COST CENTER,CN/10100/HBS Center/NICU GWU,10181 CNMA - Howard Neonatology,1/01/1900,1/01/3000,10181 CNMA - Howard Neonatology,10181 CNMA - Howard Neonatology,,10181,,,false,USD,,CN-10100-HBS Center-LOC_024-CC_10181-EXTID
Success,,Job,CN/10100/HBS Center/NICU GWU/10181 CNMA - Howard Neonatology,ACHIEF,1/01/1900,1/01/3000,ACHIEF,Assoc Chief HBS Regional Prog,,,,,false,USD,,CN-10100-HBS Center-LOC_024-CC_10181-JC0559-EXTID
Success,,LOCATION,CN/10100/HBS Center,Northern Virginia,1/01/1900,1/01/3000,Northern Virginia,Northern Virginia,,,,,false,USD,,CN-10100-HBS Center-LOC_005-EXTID
Success,,COST CENTER,CN/10100/HBS Center/Northern Virginia,10214 Genetics,1/01/1900,1/01/3000,10214 Genetics,10214 Genetics,,10214,,,false,USD,,CN-10100-HBS Center-LOC_005-CC_10214-EXTID
Success,,Job,CN/10100/HBS Center/Northern Virginia/10214 Genetics,PHYS,1/01/1900,1/01/3000,PHYS,Medical Geneticist,,,,,false,USD,,CN-10100-HBS Center-LOC_005-CC_10214-JC0499-EXTID
Success,,COST CENTER,CN/10100/HBS Center/Northern Virginia,10219 Nephrology,1/01/1900,1/01/3000,10219 Nephrology,10219 Nephrology,,10219,,,false,USD,,CN-10100-HBS Center-LOC_005-CC_10219-EXTID
Success,,Job,CN/10100/HBS Center/Northern Virginia/10219 Nephrology,PHYS,1/01/1900,1/01/3000,PHYS,Nephrologist,,,,,false,USD,,CN-10100-HBS Center-LOC_005-CC_10219-JC0507-EXTID
Success,,COST CENTER,CN/10100/HBS Center/Northern Virginia,10199 Endocrinology,1/01/1900,1/01/3000,10199 Endocrinology,10199 Endocrinology,,10199,,,false,USD,,CN-10100-HBS Center-LOC_005-CC_10199-EXTID
Success,,Job,CN/10100/HBS Center/Northern Virginia/10199 Endocrinology,PHYS,1/01/1900,1/01/3000,PHYS,Endocrinologist,,,,,false,USD,,CN-10100-HBS Center-LOC_005-CC_10199-JC0539-EXTID
Success,,LOCATION,CN/10100/HBS Center,THEARC,1/01/1900,1/01/3000,THEARC,THEARC,,,,,false,USD,,CN-10100-HBS Center-LOC_047-EXTID
Success,,COST CENTER,CN/10100/HBS Center/THEARC,10170 Hospital - Developing Brain,1/01/1900,1/01/3000,10170 Hospital - Developing Brain,10170 Hospital - Developing Brain,,10170,,,false,USD,,CN-10100-HBS Center-LOC_047-CC_10170-EXTID
Success,,Job,CN/10100/HBS Center/THEARC/10170 Hospital - Developing Brain,LEAD,1/01/1900,1/01/3000,LEAD,Lead Perinatal Behavioral Spec,,,,,false,USD,,CN-10100-HBS Center-LOC_047-CC_10170-JC1784-EXTID
Success,,LOCATION,CN/10100/HBS Center,Main Campus,1/01/1900,1/01/3000,Main Campus,Main Campus,,,,,false,USD,,CN-10100-HBS Center-LOC_001-EXTID
Success,,COST CENTER,CN/10100/HBS Center/Main Campus,10185 Diagnostic Radiology wtht RNs,1/01/1900,1/01/3000,10185 Diagnostic Radiology wtht RNs,10185 Diagnostic Radiology wtht RNs,,10185,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10185-EXTID
Success,,SUBAREA,CN/10100/HBS Center/Main Campus/10185 Diagnostic Radiology wtht RNs,On Call,1/01/1900,1/01/3000,Diag Rad wo RN On Call,Diag Rad wo RN On Call,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10185-On Call-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10185 Diagnostic Radiology wtht RNs/On Call,TECH,1/01/1900,1/01/3000,TECH,Diag Rad On Call TECH,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10185-On Call-TECH-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10185 Diagnostic Radiology wtht RNs,TRAINEE,1/01/1900,1/01/3000,TRAINEE,Clinical Trainee,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10185-JC2420-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10185 Diagnostic Radiology wtht RNs,ORIENT,1/01/1900,1/01/3000,ORIENT,Orient,,,,100,false,USD,,CN-10100-HBS Center-LOC_001-CC_10185-Orient-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10185 Diagnostic Radiology wtht RNs,EDU,1/01/1900,1/01/3000,EDU,EDU,,,,100,false,USD,,CN-10100-HBS Center-LOC_001-CC_10185-EDU-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10185 Diagnostic Radiology wtht RNs,MEETING,1/01/1900,1/01/3000,MEETING,Meeting,,,,100,false,USD,,CN-10100-HBS Center-LOC_001-CC_10185-Meeting-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10185 Diagnostic Radiology wtht RNs,SUPER,1/01/1900,1/01/3000,SUPER,SUPER,,,,100,false,USD,,CN-10100-HBS Center-LOC_001-CC_10185-SUPER-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10185 Diagnostic Radiology wtht RNs,TECH,1/01/1900,1/01/3000,TECH,Diagnostic Imaging Technol SEI,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10185-JC2376-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10185 Diagnostic Radiology wtht RNs,LEAD,1/01/1900,1/01/3000,LEAD,Lead Radiologic Technologist SEI,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10185-JC2344-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10185 Diagnostic Radiology wtht RNs,ASST,1/01/1900,1/01/3000,ASST,Radiology Resource Assistant SEI,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10185-JC2340-EXTID
Success,,COST CENTER,CN/10100/HBS Center/Main Campus,10199 Endocrinology,1/01/1900,1/01/3000,10199 Endocrinology,10199 Endocrinology,,10199,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,COORD,1/01/1900,1/01/3000,COORD,Clinical Program Coordinator,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC1540-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,CHIEF,1/01/1900,1/01/3000,CHIEF,Chief of Endocrinology,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC1270-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,PHYS,1/01/1900,1/01/3000,PHYS,Endocrinologist,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC0539-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,PSYCH,1/01/1900,1/01/3000,PSYCH,Psychologist,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC0556-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,ASSOC,1/01/1900,1/01/3000,ASSOC,Operations Associate,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC0255-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,NP,1/01/1900,1/01/3000,NP,Adv Pract Nurse Practitioner,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC1578-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,INTERN,1/01/1900,1/01/3000,INTERN,Administrative Intern,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC0001-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,FELLOW,1/01/1900,1/01/3000,FELLOW,Fellow,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC0792-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,SC,1/01/1900,1/01/3000,SC,Shift Coordinator,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC1544-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,PHARM,1/01/1900,1/01/3000,PHARM,Clinical Pharmacist II,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC2202-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,ASST,1/01/1900,1/01/3000,ASST,Staff Assistant,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC0189-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,CONSULT,1/01/1900,1/01/3000,CONSULT,Independent Contractor Consultant,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC2414-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,TRAINEE,1/01/1900,1/01/3000,TRAINEE,Clinical Trainee,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC2420-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,RN,1/01/1900,1/01/3000,RN,Registered Nurse-Agency,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC1576-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,OBSERVER,1/01/1900,1/01/3000,OBSERVER,Observer,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC2424-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,EXTERN,1/01/1900,1/01/3000,EXTERN,Student Extern,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC2426-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,SOP,1/01/1900,1/01/3000,SOP,Sponsored Operational Partner,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC2412-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10199 Endocrinology,COLLAB,1/01/1900,1/01/3000,COLLAB,Research Collaborator,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10199-JC2419-EXTID
Success,,COST CENTER,CN/10100/HBS Center/Main Campus,10217 Pulmonary Medicine,1/01/1900,1/01/3000,10217 Pulmonary Medicine,10217 Pulmonary Medicine,,10217,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,ASST,1/01/1900,1/01/3000,ASST,Staff Assistant,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC0189-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,PHYS,1/01/1900,1/01/3000,PHYS,Pulmonologist,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC0514-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,COORD,1/01/1900,1/01/3000,COORD,Surgical Coordinator,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC0099-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,CHIEF,1/01/1900,1/01/3000,CHIEF,Chief of Pulmonary & Sleep Med,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC1267-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,INTERN,1/01/1900,1/01/3000,INTERN,Administrative Intern,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC0001-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,FELLOW,1/01/1900,1/01/3000,FELLOW,Fellow,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC0792-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,PSYCH,1/01/1900,1/01/3000,PSYCH,Psychologist,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC0556-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,NP,1/01/1900,1/01/3000,NP,Adv Pract Nurse Practitioner,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC1578-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,MGR,1/01/1900,1/01/3000,MGR,Clinical Mgr I,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC1585-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,ACHIEF,1/01/1900,1/01/3000,ACHIEF,Assoc Chief Pulmonary Acad Aff,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC0579-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,OBSERVER,1/01/1900,1/01/3000,OBSERVER,Observer,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC2424-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,CONSULT,1/01/1900,1/01/3000,CONSULT,Independent Contractor Consultant,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC2414-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,RN,1/01/1900,1/01/3000,RN,Registered Nurse-Agency,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC1576-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,PCT,1/01/1900,1/01/3000,PCT,Patient Care Technician SEI,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC1681-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10217 Pulmonary Medicine,TELEHEALTH RN,1/01/1900,1/01/3000,TELEHEALTH RN,Telehealth Nurse DCN,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10217-JC1521-EXTID
Success,,COST CENTER,CN/10100/HBS Center/Main Campus,10194 Special Immunology,1/01/1900,1/01/3000,10194 Special Immunology,10194 Special Immunology,,10194,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10194-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10194 Special Immunology,COORD,1/01/1900,1/01/3000,COORD,Program Coordinator,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10194-JC0379-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10194 Special Immunology,PHYS,1/01/1900,1/01/3000,PHYS,Adolescent Medicine Physician,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10194-JC0529-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10194 Special Immunology,FELLOW,1/01/1900,1/01/3000,FELLOW,Fellow,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10194-JC0792-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10194 Special Immunology,TRAINEE,1/01/1900,1/01/3000,TRAINEE,Administrative Trainee,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10194-JC2422-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10194 Special Immunology,ADVOCATE,1/01/1900,1/01/3000,ADVOCATE,Community Advocate,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10194-JC2428-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10194 Special Immunology,EXTERN,1/01/1900,1/01/3000,EXTERN,Student Extern,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10194-JC2426-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10194 Special Immunology,RN,1/01/1900,1/01/3000,RN,Registered Nurse II DCN,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10194-JC1477-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10194 Special Immunology,LPN,1/01/1900,1/01/3000,LPN,LPN II SEI,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10194-JC1626-EXTID
Success,,COST CENTER,CN/10100/HBS Center/Main Campus,10182 Radiology,1/01/1900,1/01/3000,10182 Radiology,10182 Radiology,,10182,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10182 Radiology,DIR,1/01/1900,1/01/3000,DIR,Exec Dir Radiology Ops,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-JC1451-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10182 Radiology,ASSOC,1/01/1900,1/01/3000,ASSOC,Digital Imaging Lab Assoc,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-JC2172-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10182 Radiology,ASST,1/01/1900,1/01/3000,ASST,PAC Clinical Assistant,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-JC0914-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10182 Radiology,SPEC,1/01/1900,1/01/3000,SPEC,Child Life Specialist,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-JC1715-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10182 Radiology,ADMIN,1/01/1900,1/01/3000,ADMIN,Radiology Info Systems Admin,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-JC0904-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10182 Radiology,MGR,1/01/1900,1/01/3000,MGR,Mgr Radiology Operations,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-JC2352-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10182 Radiology,LEAD,1/01/1900,1/01/3000,LEAD,Lead Digital Imaging Lab Assoc,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-JC2173-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10182 Radiology,PHYSICIST,1/01/1900,1/01/3000,PHYSICIST,Radiation Safety Physicist,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-JC2386-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10182 Radiology,CONSULT,1/01/1900,1/01/3000,CONSULT,Performance Improv Consult,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-JC1667-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10182 Radiology,ADVISOR,1/01/1900,1/01/3000,ADVISOR,Senior Advisor,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-JC0358-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10182 Radiology,ANLST,1/01/1900,1/01/3000,ANLST,Coding Analyst,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-JC0126-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10182 Radiology,VOL,1/01/1900,1/01/3000,VOL,Volunteer,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-JC2431-EXTID
Success,,Job,CN/10100/HBS Center/Main Campus/10182 Radiology,PHYS,1/01/1900,1/01/3000,PHYS,Referring Attending Physician,,,,,false,USD,,CN-10100-HBS Center-LOC_001-CC_10182-JC2430-EXTID
